agency name,website,emails
"Sunset","www.sunsetcom.com.br","imprensa@sunsetddb.com.br,contato@sunsetddb.com.br"
"Midnight Oil","www.moagency.com","portfolio@moagency.com"
"Radical Media","www.radicalmedia.com","receptuk@radicalmedia.com,receptde@radicalmedia.com,press@radicalmedia.com,careers@radicalmedia.com,receptla@radicalmedia.com,receptcn@radicalmedia.com,receptny@radicalmedia.com,newbusiness@radicalmedia.com"
"Phelps","phelpsagency.com","info@9thwonder.com"
"Airpush, Inc","airpush.com","support@airpush.com"
"Merkley & Partners","www.merkleyandpartners.com","tnolan@merkleyandpartners.com,creativeportfolios@merkleyandpartners.com"
"HLK","hlkagency.com","hello@hlkagency.com"
"SevenC3","www.seven.co.uk","hello@seven.co.uk"
"IMA","ima.com.vn","info@ima.com.vn"
"We are Vista","www.wearevista.com","sdh@wearevista.com"
"Novus Media LLC","novusmedia.com","contactus@novusmediainc.com"
"BWM Dentsu","www.bwmdentsu.com","sydcareers@bwmdentsu.com,hello@bwmdentsu.com,melcareers@bwmdentsu.com"
"ARTOX","www.artox.com","info@artox.com,info@amdg.kz"
"Media Assembly","media-assembly.com","get-in-touch@media-asm.com,preston.waller@media-asm.com"
"Advent","adventresults.com","info@adventresults.com"
"Havas Lynx Group","www.havaslynx.com","london@havaslynx.com,europe@havaslynx.com"
"Dragon Rouge","www.dragonrouge.com","gotaproject.paris@dragonrouge.com,gotaproject.singapore@dragonrouge.com,gotaproject.warsaw@dragonrouge.com,gotaproject.newyork@dragonrouge.com,gotaproject.saopaulo@dragonrouge.com,gotaproject.shanghai@dragonrouge.com,gotaproject.london@dragonrouge.com,gotaproject.hamburg@dragonrouge.com"
"Verticurl","www.verticurl.co.jp","hr@verticurl.com"
"Moroch Partners","www.moroch.com","morochpress@moroch.com,contact@moroch.com"
"Catapult Marketing","www.catapultmarketing.com","getgrowing@epsilon.com"
"The OIC Agency","theoicagency.com","info@thinkundivided.com"
"Simpli.fi","www.simpli.fi","hi@simpli.fi"
"American Equity","www.american-equity.com","info@american-equity.com"
"Cyereg Inc.","www.cyereg.com","info@cyereg.com"
"Y&R ANZ","www.yranz.com","sarah.bailey@vmlyr.com,adam.kennedy@vmlyr.com,katie.dally@vmlyr.com,james.mok@vmlyr.com,fleur.head@yr.com"
"Goodway Group","goodwaygroup.com","info@goodwaygroup.com"
"Spark44 GmbH","spark44.com","dianes@spark44.com,careers@spark44.com,andreasg@spark44.com"
"Ingate Digital Agency","promo.ingate.ru","info@ingate.ru"
"FCB Inferno","www.fcbinferno.com","hello@fcbinferno.com"
"DDB Chicago","www.ddb.com","newbusiness@ddb.com,press@ddb.com"
"Anomaly","anomaly.com","camilla@anomaly.com,cntalent@anomaly.com,thelastsilo@anomaly.com,eric@anomaly.com,catalent@anomaly.com,damtalent@anomaly.com,jiah@anomaly.com,talent@anomaly.com,sowen@anomaly.com,edamassa@anomaly.com,ehodkins@anomaly.com,uktalent@anomaly.com,engin@anomaly.com,franke@anomaly.com,jason@anomaly.com,detalent@anomaly.com"
"VSA Partners","www.vsapartners.com","info@vsapartners.com"
"Eve Advertising Agency","eve.agency","contact@eve.agency"
"ICE Creates","www.icecreates.com","ideas@icecreates.com"
"Lake B2B","www.lakeb2b.com","info@lakeb2b.com"
"AdPeople Worldwide","www.adpeople.com","info@adpeople.com"
"We Are Social","wearesocial.com","letstalk@wearesocial.com"
"Silver + Partners","www.silverpartners.com","info@silverpartners.com"
"Droga5","droga5.co.uk","newbiz@droga5.com"
"Twofour Group","www.twofour.co.uk","enquiries@twofour.co.uk,enquiries@boomcymru.co.uk ,enq@twofouramerica.com"
"New Hampshire Union Leader","www.unionleader.com","news@unionleader.com"
"Yellow Media","www.yellowpages.com.eg","CustomerCare@Yellow.com.eg"
"Scholz & Friends","s-f.com","info@s-f.com"
"Frank","welcometofrank.com","&#99;ont&#97;&#99;tfr&#97;n&#107;&#64;&#87;&#101;&#108;com&#101;&#116;&#111;&#102;&#114;a&#110;&#107;.com,co&#110;t&#97;c&#116;&#109;&#97;nc&#102;&#114;&#97;&#110;&#107;&#64;we&#108;c&#111;&#109;&#101;to&#102;r&#97;&#110;&#107;&#46;com,f&#114;&#97;n&#107;oz&#64;&#119;&#101;lc&#111;metof&#114;ank&#46;&#99;&#111;&#109;&#46;&#97;&#117;"
"McGarryBowen","www.mcgarrybowen.com","info@swirl.net,office@achtung.nl,dan.lescarbeau@mcgarrybowen.com,hello@happymgb.com,juan.perez@acmcgarrybowen.com,comunicacao@dentsuaegis.com,admin@mcgarrybowen.com,miquel.daura@acmcgarrybowen.com,simone.tam@mcgarrybowen.com,hello@mcgarrybowen.com,dick@achtung.nl,urmi.chowdhuri@happymgb.com,contact.paris@mcgarrybowen.com,stephen@mgmb.sg,admin.hk@mcgarrybowen.com,Info@mcgarrybowen.com<br/><br/>Lindsey McNabb<br/>Lindsey.McNabb@mcgarrybowen.com,contato@mcgarrybowen.com.br,oli.richards@mcgarrybowen.com,rosemary.abendroth@mcgarrybowen.com,info@mcgarrybowen.com,katie.hartman@mcgarrybowen.com,samarjit.choudhry@happymgb.com"
"Resolve Media","www.resolvemedia.com","johnsuder@resolvemedia.com"
"jones knowles ritchie","www.jkrglobal.com","singapore@jkrglobal.com,newyork@jkrglobal.com,shanghai@jkrglobal.com,london@jkrglobal.com"
"NBS","www.nobullshit.com.br","nbscomunicacao@nobullshit.com.br"
"Seo companies in UAE","www.toponseo.com","support@domain.com"
"AlmapBBDO","www.almapbbdo.com.br","almap@almapbbdo.com.br"
"Fabrick","www.wearefabrick.com","hello@wearefabrick.com"
"Tangerine PR","www.tangerinepr.com","jo@tangerinecomms.com"
"SEO Company in Gurgaon","www.seocompanyingurgaon.co.in"," info@seotechexperts.com"
"Karmarama","www.karmarama.com","reception@karmarama.com,newbusiness@karmarama.com"
"Select World GmbH","selectworld.com","info.geneva@selectworld.com,info.paris@selectworld.com,info.newyork@selectworld.com,info.losangeles@selectworld.com,info.hamburg@selectworld.com,info.shanghai@selectworld.com"
"Kadence International","www.kadence.com","singapore@kadence.com"
"Benchworks","www.benchworks.com","press@benchworks.com,careers@benchworks.com,tbench2@benchworks.com"
"JWT","jwt.co.uk","antonia.collins@jwt.com,kate.muir@jwt.com"
"Publicis Hawkeye","www.publicishawkeye.com","olivia.vonplonski@publicishawkeye.com"
"Agencia Bistro","agenciabistro.com","rh@agenciabistro.com"
"GSM","www.gsmarketing.com","Success@gsmarketing.com"
"Adtaxi","www.adtaxi.com","info@adtaxi.com"
"Democrat & Chronicle Marketing Services","solutions.democratandchronicle.com","solutions@democratandchronicle.com"
