agency name,website,emails
"LEADS Corporation Limited","leads.com.bd","&#105;n&#102;&#111;&#64;&#108;&#101;&#97;&#100;&#115;-b&#100;&#46;&#99;o&#109;"
"Helmes AS","www.helmes.com","inf&#111;&#64;h&#101;l&#109;&#101;&#115;&#46;c&#111;&#109;"
"Hirephp","www.hirephp.com","enquiry@hirephp.com"
"Rolustech","www.rolustech.com","info@rolustech.com"
"Solstice","www.solstice.com","info@solstice.com"
"Productive Edge","www.productiveedge.com","services@productiveedge.com"
"21st Century Software Solutions","www.21cssindia.com","contact@21cssindia.com"
"Shrewdify Technologies","www.shrewdify.com","consult@shrewdify.com"
"DVT","www.dvt.co.za","info@dvt.co.za"
"Business Pro Designs","www.businessprodesigns.com","support@businessprodesigns.com,sales@businessprodesigns.com"
"Rangle.io","rangle.io","info@rangle.io"
"MY Outsourcing Limited","www.myolbd.com","#"
"Cleverlance Enterprise Solutions a.s.","www.cleverlance.com","business@cleverlance.com,support@cleverlance.com,info@cleverlance.com,press@cleverlance.com,job@cleverlance.com"
"CHI Software","chisw.com","info.kyiv@chisw.com,info.dnipro@chisw.com,info@chisw.com,info.us@chisw.com,info.il@chisw.com"
"Bangladesh Export Import Co. Ltd. - IT Division","www.bol-online.com","support@bol-online.com"
"Avantica","www.avantica.net","info@avantica.net"
"ITCube Solutions Pvt. Ltd.","www.itcube.net","inquiry@itcube.net"
"Cyber Infrastructure Inc.","www.cisin.com","info@cisin.com,&#105;&#110;&#102;&#111;&#64;&#99;&#105;&#115;&#105;&#110;&#46;&#99;&#111;&#109;,&#104;&#114;&#64;&#99;&#105;&#115;&#105;&#110;&#46;&#99;&#111;&#109;"
"TatvaSoft","www.tatvasoft.com","info@tatvasoft.com"
"SoftwareHut","www.softwarehut.com","maciej.szymczuk@softwarehut.com,robert.strzelecki@softwarehut.com,marcin.bartoszuk@softwarehut.com,hello@softwarehut.com,jacek.zadrag@softwarehut.com"
"Polymont IT Services","www.polymont-itservices.fr","vivapps@netvizio.com"
"Concrete","www.concrete.com.br","contato@concrete.com.br,comercial@concrete.com.br,comunicacao@concrete.com.br,trabalheconosco@concrete.com.br"
"Hangar CR","www.thehangar.cr","business@thehangar.cr"
